roi1,extroi1,roi2,extroi2,roi3,extroi3,roi4,extroi4,roi5,extroi5,roi6,extroi6,dilroi1,dilroi2,dilroi3,dilroi4,dilroi5,dilroi6,evaluation,bidir,label,fgnum,hemi,slabel,shemi,nhlabel,wbt,usecortex,tckmaxlen,tckminlen,tckangle,algorithm,select,cutoff,maxDist,maxLen,numNodes,meanmed,maxIter
UNC_roi1_L,.nii.gz,UNC_roi2_L,.nii.gz,NO,.nii.gz,NO,.nii.gz,Right-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Left_Uncinate,17,Left,LUF,L,UF,1,0,100,10,45,iFOD2,5000,0.1,3,3,100,median,3
UNC_roi1_R,.nii.gz,UNC_roi2_R,.nii.gz,NO,.nii.gz,NO,.nii.gz,Left-Cerebral-White-Matter,.nii.gz,NO,.nii.gz,0,0,0,0,2,0,1,0,Right_Uncinate,18,Right,RUF,R,UF,1,0,100,10,45,iFOD2,5000,0.1,3,3,100,median,3
